"year","cat5_prop","cat5_avg","cat4_prop","cat4_avg","cat3_prop","cat3_avg","cat2_prop","cat2_avg","cat1_prop","cat1_avg","ts_prop","ts_avg","td_prop","td_avg"
1885,0,0,0,0,0,0,0.036144578313253,4.5,0.259036144578313,32.25,0.656626506024096,81.75,0.0481927710843374,6
1886,0,0,0.00892857142857143,1.5,0.0446428571428571,7.5,0.268849206349206,45.1666666666667,0.260912698412698,43.8333333333333,0.395833333333333,66.5,0.0208333333333333,3.5
1887,0,0,0,0,0.0644391408114559,8.52631578947368,0.143198090692124,18.9473684210526,0.22673031026253,30,0.551312649164678,72.9473684210526,0.0143198090692124,1.89473684210526
1888,0,0,0,0,0.0454545454545455,6,0.161616161616162,21.3333333333333,0.212121212121212,28,0.570707070707071,75.3333333333333,0.0101010101010101,1.33333333333333
1889,0,0,0,0,0,0,0.148275862068966,28.6666666666667,0.158620689655172,30.6666666666667,0.679310344827586,131.333333333333,0.0137931034482759,2.66666666666667
1890,0,0,0,0,0.102564102564103,12,0.192307692307692,22.5,0.0769230769230769,9,0.576923076923077,67.5,0.0512820512820513,6
1891,0,0,0,0,0.0193050193050193,3,0.223938223938224,34.8,0.355212355212355,55.2,0.386100386100386,60,0.0154440154440154,2.4
1892,0,0,0,0,0,0,0.248251748251748,47.3333333333333,0.202797202797203,38.6666666666667,0.548951048951049,104.666666666667,0,0
1893,0,0,0.0051150895140665,1,0.219948849104859,43,0.207161125319693,40.5,0.18925831202046,37,0.363171355498721,71,0.0153452685421995,3
1894,0,0,0.0168067226890756,3.42857142857143,0.134453781512605,27.4285714285714,0.26890756302521,54.8571428571429,0.222689075630252,45.4285714285714,0.340336134453782,69.4285714285714,0.0168067226890756,3.42857142857143
1895,0,0,0,0,0,0,0.288888888888889,52,0.0722222222222222,13,0.577777777777778,104,0.0611111111111111,11
1896,0,0,0,0,0.101214574898785,21.4285714285714,0.388663967611336,82.2857142857143,0.17004048582996,36,0.279352226720648,59.1428571428571,0.0607287449392713,12.8571428571429
